,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
0,Kvar otklonjen,Normalizuje se vodosnabdijevanje u Sarajevu nakon 26-satnog prekida,Jutros oko 7 sati vodosnabdijevanje je normalizovano u 90 posto domaćinstava koja nisu imali vode duže od 24 sata u Sarajevu.,1 dan
1,Prekid od 26 sati,ViK u 01:30: Kvar popravljen - voda puštena u sistem; Građani u 6 sati: Vode još nema,"Komunalno preduzeće ""Vodovod i kanalizacija"" tokom noći saopćio je da je završen popravak kvara na glavnom potisnom cjevovodu i da se voda počela puštati u sistem oko 01:30 sati.",1 dan
2,Skoro 24 sata,"Radovi na izvorištu Bačevo u Sarajevu nastavit će se duboko u noć, građani i dalje bez vode","Radnici preduzeća Vodovod i kanalizacija Sarajevo (ViK) nastavit će duboko u noć raditi na otklanjanju kvarova i sanaciji glavnog cjevovoda na izvorištu Bačevo, potvrđeno je za Klix.ba.",1 dan
3,Sarajevo,"ViK objavio snimak radova na izvorištu Bačevo, radnici i dalje saniraju kvar",Na službenoj stranici preduzeća Vodovod i kanalizacija (ViK) objavljen je snimak radnika koji trenutno vrše popravak kvara na glavnom cjevovodu u krugu izvorišta Bačevo.,1 dan
4,Bačevo,"Sanacija glavnog vodovodnog cjevovoda u Sarajevu i dalje traje, vremenski uslovi otežavaju rad",Preduzeće Vodovod i kanalizacija iz Sarajeva objavilo je nove informacije koje se tiču radova na glavnom cjevovodu Bačevo uslijed kojih veliki dio glavnog od ranih jutarnjih sati nema vode.,2 dana
5,Prazne slavine,"Pola Sarajeva nema vode zbog rupice promjera 5 cm, posjetili smo Bačevo gdje se odvijaju radovi","Zbog velikog kvara na izvorištu Bačevo, veliki broj naselja u glavnom gradu BiH od jutros nema vode. Ekipa portala Klix.ba danas je obišla izvorište Bačevo gdje 50 uposlenika ViK-a vrijedno radi, a rukovodilac službe je otkrio o kakvom kvaru je riječ.",2 dana
6,Radovi na cjevovodu,"Zatvoreni ventili na Bačevu, pola Sarajeva bez vode do večeras","Veliki dio Sarajeva, kako je i najavljeno, od ranih jutarnjih sati nema vode. Razlog su radovi na glavnom potisnom cjevovodu na Bačevu.",2 dana
7,Važno saopćenje,U nedjelju veći dio Sarajeva ostaje bez vode zbog radova na glavnom cjevovodu,Iz preduzeća Vodovod i kanalizacija u Sarajevu ponovno su izdali saopćenje za javnost u kojima se građani napominju kako će u nedjelju veći dio glavnog grada Bosne i Hercegovine ostati bez vode ili sa smanjenim vodosnabdijevanjem.,10.02.2024. u 16:50
8,Popravka kvara,U većem dijelu Sarajeva u nedjelju doći će do prekida vodosnabdijevanja,"Zbog popravke kvara na glavnom potisnom cjevovodu u nedjelju (11. februara) u većem dijelu Sarajeva doći će do smanjenja pritiska vode ili prekida vodosnabdijevanja, saopćili su iz preduzeća Vodovod i kanalizacija (ViK).",09.02.2024. u 15:07
9,Vrijedno skoro 200.000 KM,Sarajevski ViK dobio specijalizirano vozilo za transport hlora,"Sarajevsko preduzeće Vodovod i kanalizacija (ViK) nabavilo je specijalizirano vozilo za transport hlora, a danas je upriličena primopredaja ovog vozila.",11.01.2024. u 15:42
10,Sarajevo,Konačno riješene sve prepreke: Rušit će se ruglo na Pofalićima na lokaciji buduće zgrade MUP-a,Premijer Vlade KS Nihad Uk najavio je da će na Pofalićima biti izgrađena dugo planirana nova zgrada MUP-a KS i Policijske uprave Novo Sarajevo.,29.12.2023. u 08:55
